"Timestamp","1. Gender","2. Age","3. Where do you live? (District)","4. What's your occupation?","5. What's your Education Level?","6. What's your Monthly income?","7. How did you get to know about mobile banking?","8. How long have you been using mobile banking for?","9. Is your mobile banking service addition to an existing bank account or separate service(Mobile wallet, ex: frimi)?","10. What types of accounts do you have?","11. What kind of operations are you doing using the mobile application?","12.	How often do you use the mobile application to do the above-mentioned tasks","13. How far is the bank branch where you do business (or live)?","14. Do you generally send, receive, or do both send and receive?","15. How do you agree with the following statements? [My mobile banking menu is very easy to navigate]","15. How do you agree with the following statements? [My mobile banking menu is very easy to understand]","15. How do you agree with the following statements? [It is easy to make a payment]","15. How do you agree with the following statements? [It is easy to make transfer money]","15. How do you agree with the following statements? [It is easy to make a balance inquiry]","15. How do you agree with the following statements? [Do you think that you will save time by using a mobile banking application?]","15. How do you agree with the following statements? [Do you think the mobile banking is secure with compared to the physically going to a bank and doing the operations?]","16. What type of features do you think that is relevant to a mobile banking application? [Speed/Performance]","16. What type of features do you think that is relevant to a mobile banking application? [Simplicity]","16. What type of features do you think that is relevant to a mobile banking application? [Security]","16. What type of features do you think that is relevant to a mobile banking application? [Customization]","16. What type of features do you think that is relevant to a mobile banking application? [Social Integration]","16. What type of features do you think that is relevant to a mobile banking application? [Feedback]","16. What type of features do you think that is relevant to a mobile banking application? [cross-platform]","16. What type of features do you think that is relevant to a mobile banking application? [Customer support]","16. What type of features do you think that is relevant to a mobile banking application? [Multiple languages]","16. What type of features do you think that is relevant to a mobile banking application? [More reporting tools (charts, tables, etc..)]","17. How satisfied were you with the current banking application?","18. Do you recommend other users to use mobile banking apps? ","19. What is the main advantage of using mobile banking applications?","20. What are the main drawbacks of using mobile banking applications?","21. How can the mobile banking apps could be improved to fit your needs well?","22. What are your other thoughts on mobile banking? (Not Mandatory)","23. How convenient is this questionnaire for you? (Not Mandatory)"
"2020/11/28 11:23:32 am GMT+5:30","Female","19 - 30","Ratnapura","Student","Degree or above","Below 50,000","Bank","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Monthly – Several Times","1Km to 5Km","Send and receive","4","4","4","4","4","5","3","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Very relevant","Very relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Security issues;Inconvenient to make deposits","Keep it Simple;Add more features;More value added services","","3"
"2020/11/28 11:30:30 am GMT+5:30","Male","19 - 30","Kalutara","Private Sector Job","Degree or above","50,000 - 100,000","Advertisement","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;International payments","Weekly – Several Times","more than 5Km","Send and receive","3","3","4","4","5","5","2","Very relevant","Very relevant","Very relevant","Very relevant","Not relevant","Very relevant","Not relevant","Very relevant","Very relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Inefficient at complex transactions;No relationship with personal banker;No account number verification process when depositing money","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","","4"
"2020/11/28 11:38:48 am GMT+5:30","Female","60+","Colombo","Student","Degree or above","Below 50,000","Bank","One year to five years","An addition","Savings Account;Investment Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","100m to 1Km","Send and receive","5","5","5","5","5","5","5","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Relevant","Very relevant","Very relevant","Very relevant","Relevant","5","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Inconvenient to make deposits","Add more features;More value added services","","5"
"2020/11/28 11:46:04 am GMT+5:30","Male","30 - 40","Colombo","Private Sector Job","Degree or above","150,000 to 200,000","Banker","5 years or more","Separate","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Daily – Several Times","less than 100m","Send and receive","4","4","4","4","4","4","4","Relevant","Very relevant","Relevant","Relevant","Not relevant","Not relevant","Not relevant","Very relevant","Relevant","Not relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues","Keep it Simple;Lightweight and speed","","3"
"2020/11/28 11:53:24 am GMT+5:30","Male","19 - 30","Gampaha","Student","Degree or above","Below 50,000","Friends","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Investments","Weekly – Several Times","1Km to 5Km","Send and receive","3","3","5","5","5","5","4","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Very relevant","Very relevant","Very relevant","Relevant","Very relevant","3","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","No relationship with personal banker;Inconvenient to make deposits","Keep it Simple;More value added services;Better User Interface","Transaction fees should be reduced ","3"
"2020/11/28 11:55:52 am GMT+5:30","Female","19 - 30","Kurunegala","Student","Undergraduate","Below 50,000","Advertisement","Less than a year","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;International payments","Monthly – Several Times","1Km to 5Km","Send and receive","3","3","4","4","4","4","2","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Very relevant","Very relevant","Relevant","Very relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment","Security issues","Keep it Simple;Add more features;Better User Interface","","4"
"2020/11/28 12:00:55 pm GMT+5:30","Male","19 - 30","Ratnapura","Student","Degree or above","Below 50,000","Advertisement","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Investments","Weekly – Several Times","more than 5Km","Send and receive","3","3","3","3","3","3","4","Very relevant","Very relevant","Very relevant","Relevant","Not relevant","Relevant","Very relevant","Very relevant","Relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Security issues;Inefficient at complex transactions;No relationship with personal banker;Inconvenient to make deposits","Keep it Simple;Add more features;More value added services;Better User Interface","","5"
"2020/11/28 12:04:56 pm GMT+5:30","Male","30 - 40","Kalutara","Government Job","Degree or above","50,000 - 100,000","Bank","One year to five years","An addition","Savings Account;Credit card Account;Investment Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Open Fixed deposits;Investments","Weekly – Several Times","more than 5Km","Send and receive","4","4","4","4","4","4","4","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","5","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees","Technology issues","Keep it Simple;Add more features","","4"
"2020/11/28 12:05:39 pm GMT+5:30","Male","19 - 30","Nuwara Eliya","Private Sector Job","Degree or above","50,000 - 100,000","Advertisement","One year to five years","An addition","Savings Account;Credit card Account;Checking Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","1Km to 5Km","Send and receive","3","2","5","4","3","4","2","Very relevant","Very relevant","Very relevant","Relevant","Not relevant","Very relevant","Relevant","Very relevant","Very relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees","Technology issues;Security issues","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","","5"
"2020/11/28 12:09:06 pm GMT+5:30","Male","19 - 30","Colombo","Private Sector Job","Degree or above","100,000 - 150,000","Friends","One year to five years","An addition","Savings Account","Transfer money to the other accounts","Monthly – Several Times","1Km to 5Km","Send and receive","4","4","4","4","4","4","4","No Idea","No Idea","No Idea","Very relevant","No Idea","Very relevant","Very relevant","No Idea","No Idea","Very relevant","4","YES","Ease of access;24/7 account and service access;Speed and efficiency","Technology issues;Inefficient at complex transactions","Keep it Simple;Lightweight and speed;More value added services;Better User Interface","must be able to recognise the payee prior to transa tion. ","4"
"2020/11/28 12:09:31 pm GMT+5:30","Male","40 - 50","Colombo","Private Sector Job","Degree or above","100,000 - 150,000","Bank","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Monthly – Several Times","less than 100m","Sender","4","4","4","5","5","5","4","Very relevant","Very relevant","Very relevant","Not relevant","Not relevant","Relevant","Relevant","Relevant","Very relevant","Not relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Security issues","Keep it Simple;Add more features;More value added services;Better User Interface","","3"
"2020/11/28 12:15:30 pm GMT+5:30","Male","19 - 30","Colombo","Private Sector Job","Degree or above","100,000 - 150,000","Bank","One year to five years","An addition","Savings Account;Investment Account","Checking bank balance;Transfer money to the other accounts;Investments","Weekly – Several Times","1Km to 5Km","Send and receive","4","4","3","5","4","5","2","Very relevant","Very relevant","Very relevant","Not relevant","Not relevant","Not relevant","Very relevant","Very relevant","Very relevant","Not relevant","3","YES","Ease of access","Technology issues;Inefficient at complex transactions;Inconvenient to make deposits","Keep it Simple;Better User Interface","","5"
"2020/11/28 12:18:15 pm GMT+5:30","Female","30 - 40","Gampaha","Private Sector Job","Degree or above","200,000+","Internet or Article","One year to five years","An addition","Savings Account;Credit card Account;Investment Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Open Fixed deposits","Monthly – Several Times","1Km to 5Km","Send and receive","4","4","4","3","4","5","5","Very relevant","Very relevant","Very relevant","Very relevant","Relevant","Very relevant","Very relevant","Very relevant","Very relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Security issues;Inefficient at complex transactions","Keep it Simple;More value added services;Better User Interface","Make it more user friendly which anyone can understand any complex activities involved with the banking application","4"
"2020/11/28 12:18:58 pm GMT+5:30","Male","19 - 30","Jaffna","Private Sector Job","Degree or above","50,000 - 100,000","Bank","Less than a year","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts","Weekly – Once","more than 5Km","Receiver","1","2","2","2","1","1","3","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Not relevant","Relevant","Not relevant","Not relevant","4","YES","Ease of access;Online bill payment","Security issues","Keep it Simple","","5"
"2020/11/28 12:19:53 pm GMT+5:30","Male","19 - 30","Colombo","Private Sector Job","Degree or above","200,000+","Friends","5 years or more","An addition","Savings Account;Investment Account","Checking bank balance;Transfer money to the other accounts","Weekly – Several Times","1Km to 5Km","Send and receive","1","1","3","3","3","4","4","Very relevant","Very relevant","Very relevant","Not relevant","Not relevant","Not relevant","Very relevant","Very relevant","Very relevant","Relevant","3","YES","Ease of access;24/7 account and service access;Speed and efficiency","Technology issues;Inefficient at complex transactions","Keep it Simple;Lightweight and speed;More value added services;Better User Interface","","4"
"2020/11/28 12:20:39 pm GMT+5:30","Male","19 - 30","Kandy","Private Sector Job","Degree or above","200,000+","Internet or Article","One year to five years","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Open Fixed deposits","Weekly – Several Times","1Km to 5Km","Send and receive","4","4","5","4","5","5","4","Relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Security issues;Inefficient at complex transactions;Inconvenient to make deposits","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","-","5"
"2020/11/28 12:31:01 pm GMT+5:30","Male","19 - 30","Kurunegala","None","Degree or above","Below 50,000","Bank","One year to five years","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;International payments","Weekly – Several Times","more than 5Km","Send and receive","4","4","3","3","3","4","4","Very relevant","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Very relevant","Very relevant","Very relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues","Keep it Simple;Add more features;Lightweight and speed;More value added services","","5"
"2020/11/28 12:32:22 pm GMT+5:30","Male","19 - 30","Galle","Private Sector Job","Degree or above","100,000 - 150,000","Self","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts","Daily – Several Times","1Km to 5Km","Send and receive","4","3","3","4","4","4","2","Very relevant","Very relevant","Very relevant","Not relevant","Not relevant","Relevant","Relevant","Very relevant","Very relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Speed and efficiency","Inefficient at complex transactions;Inconvenient to make deposits","Keep it Simple;Lightweight and speed;Better User Interface","","4"
"2020/11/28 12:36:21 pm GMT+5:30","Male","30 - 40","Colombo","Private Sector Job","Degree or above","150,000 to 200,000","Bank","5 years or more","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Open Fixed deposits","Weekly – Several Times","more than 5Km","Send and receive","1","1","1","1","1","1","1","Very relevant","Very relevant","Very relevant","No Idea","No Idea","Very relevant","Very relevant","Very relevant","Not relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Inconvenient to make deposits","Add more features;More value added services;Better User Interface","","4"
"2020/11/28 12:38:59 pm GMT+5:30","Female","30 - 40","Kandy","Government Job","Degree or above","50,000 - 100,000","Bank","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Daily - Once","1Km to 5Km","Send and receive","5","5","5","5","5","5","4","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Not relevant","5","YES","Ease of access","Technology issues","Keep it Simple;Lightweight and speed;Better User Interface","Not","4"
"2020/11/28 12:41:17 pm GMT+5:30","Female","19 - 30","Matara","Private Sector Job","Degree or above","100,000 - 150,000","Bank","One year to five years","Separate","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;International payments","Monthly – Several Times","more than 5Km","Send and receive","3","3","3","2","5","5","4","Relevant","Very relevant","Very relevant","Relevant","Very relevant","Relevant","Very relevant","Very relevant","Very relevant","Not relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment","Inefficient at complex transactions;Inconvenient to make deposits","Keep it Simple;More value added services","",""
"2020/11/28 12:44:06 pm GMT+5:30","Female","30 - 40","Colombo","Private Sector Job","Degree or above","200,000+","Bank","5 years or more","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Monthly – Several Times","100m to 1Km","Send and receive","3","3","2","2","3","3","1","Relevant","Relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","Relevant","Not relevant","Not relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Security issues","Keep it Simple;Lightweight and speed;Better User Interface","","4"
"2020/11/28 12:45:30 pm GMT+5:30","Male","19 - 30","Gampaha","Private Sector Job","Degree or above","200,000+","Friends","One year to five years","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Open Fixed deposits;International payments","Monthly – Several Times","1Km to 5Km","Send and receive","4","4","4","4","4","5","4","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Inefficient at complex transactions","Keep it Simple;Lightweight and speed;Better User Interface","","5"
"2020/11/28 12:45:38 pm GMT+5:30","Male","19 - 30","Gampaha","Private Sector Job","Degree or above","200,000+","Friends","One year to five years","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Open Fixed deposits;International payments","Monthly – Several Times","1Km to 5Km","Send and receive","4","4","4","4","4","5","4","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Inefficient at complex transactions","Keep it Simple;Lightweight and speed;Better User Interface","","5"
"2020/11/28 12:45:40 pm GMT+5:30","Male","19 - 30","Matara","Private Sector Job","Degree or above","50,000 - 100,000","Bank","One year to five years","Separate","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Open Fixed deposits;International payments","Weekly – Several Times","100m to 1Km","Receiver","4","4","4","4","4","4","4","Very relevant","Very relevant","Very relevant","Not relevant","Very relevant","Relevant","Very relevant","Very relevant","Very relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Security issues;No relationship with personal banker;Inconvenient to make deposits","Keep it Simple;Add more features;Lightweight and speed;Better User Interface","",""
"2020/11/28 12:46:36 pm GMT+5:30","Male","19 - 30","Kurunegala","Private Sector Job","Degree or above","100,000 - 150,000","Friends","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;International payments","Daily – Several Times","1Km to 5Km","Send and receive","5","5","5","5","5","5","4","Relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Relevant","Relevant","Not relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Security issues","Keep it Simple","","4"
"2020/11/28 12:48:27 pm GMT+5:30","Male","19 - 30","Gampaha","Private Sector Job","Degree or above","100,000 - 150,000","Bank","One year to five years","Separate","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Monthly – Several Times","100m to 1Km","Send and receive","3","3","3","3","3","4","3","Very relevant","No Idea","No Idea","Very relevant","No Idea","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Security issues;Inefficient at complex transactions;No relationship with personal banker","Keep it Simple;Add more features;Lightweight and speed","","4"
"2020/11/28 12:48:36 pm GMT+5:30","Female","19 - 30","Matara","Private Sector Job","Degree or above","50,000 - 100,000","Family ","Less than a year","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Monthly – Several Times","1Km to 5Km","Send and receive","2","4","3","3","3","4","5","Very relevant","Relevant","Very relevant","Relevant","Not relevant","Very relevant","Very relevant","Very relevant","Relevant","Very relevant","3","YES","Ease of access;24/7 account and service access;Online bill payment","Technology issues","Lightweight and speed;More value added services","","4"
"2020/11/28 12:49:43 pm GMT+5:30","Male","19 - 30","Kalutara","Private Sector Job","Degree or above","50,000 - 100,000","Self","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","1Km to 5Km","Send and receive","3","3","3","2","4","Not Relevant","3","Relevant","Very relevant","Very relevant","Relevant","Relevant","Very relevant","Very relevant","Very relevant","Relevant","Relevant","3","May be","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Security issues;No relationship with personal banker","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","","5"
"2020/11/28 12:53:16 pm GMT+5:30","Male","19 - 30","Puttalam","Private Sector Job","Degree or above","100,000 - 150,000","Advertisement","One year to five years","Separate","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;International payments","Weekly – Several Times","1Km to 5Km","Send and receive","4","4","5","4","5","5","4","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees","Security issues","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","",""
"2020/11/28 12:53:58 pm GMT+5:30","Male","19 - 30","Galle","Private Sector Job","Degree or above","150,000 to 200,000","Internet or Article","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;International payments","Daily – Several Times","1Km to 5Km","Send and receive","3","3","4","4","4","5","5","Very relevant","Very relevant","Relevant","Relevant","Relevant","Not relevant","Not relevant","Very relevant","Very relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees","Technology issues;Security issues;Inefficient at complex transactions;Inconvenient to make deposits","Keep it Simple;Lightweight and speed;More value added services;Better User Interface","","5"
"2020/11/28 12:55:28 pm GMT+5:30","Male","19 - 30","Galle","Student","Degree or above","Below 50,000","Friends","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;International payments","Daily - Once","1Km to 5Km","Send and receive","2","2","2","2","2","1","2","Relevant","Very relevant","Very relevant","Relevant","Not relevant","Relevant","Very relevant","Very relevant","Relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Inefficient at complex transactions","Keep it Simple;Lightweight and speed;Better User Interface","","4"
"2020/11/28 12:57:11 pm GMT+5:30","Male","19 - 30","Galle","Student","Diploma","Below 50,000","Friends","One year to five years","Separate","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","less than 100m","Send and receive","3","3","3","3","3","3","3","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","4","YES","Ease of access;Online bill payment;Speed and efficiency;Low fees","Technology issues;Security issues;Inefficient at complex transactions","Keep it Simple;Add more features","","5"
"2020/11/28 1:02:21 pm GMT+5:30","Male","19 - 30","Nuwara Eliya","Government Job","Degree or above","50,000 - 100,000","Advertisement","Less than a year","An addition","Savings Account","Checking bank balance","Weekly – Several Times","1Km to 5Km","Receiver","1","1","1","1","1","1","1","Relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","Relevant","Relevant","4","YES","Ease of access;24/7 account and service access","Technology issues;Security issues","Keep it Simple;Add more features","","4"
"2020/11/28 1:04:04 pm GMT+5:30","Male","19 - 30","Kurunegala","Private Sector Job","Degree or above","100,000 - 150,000","Friends","One year to five years","Separate","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;International payments","Weekly – Several Times","1Km to 5Km","Send and receive","3","3","3","2","3","3","3","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","5","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Security issues;Inconvenient to make deposits","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","Should be more popular in Sri Lanka, should attract elder generation also","5"
"2020/11/28 1:05:40 pm GMT+5:30","Male","30 - 40","Gampaha","Private Sector Job","Degree or above","200,000+","Internet or Article","One year to five years","An addition","Savings Account;Credit card Account;Investment Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Investments","Weekly – Several Times","more than 5Km","Send and receive","2","3","2","2","4","4","4","Relevant","Relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","Relevant","Not relevant","Relevant","2","May be","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Inefficient at complex transactions","Keep it Simple;Add more features;Lightweight and speed;Better User Interface","","4"
"2020/11/28 1:06:15 pm GMT+5:30","Female","19 - 30","Kalutara","Self-Employed","Degree or above","Below 50,000","Friends","One year to five years","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Open Fixed deposits;International payments","Weekly – Several Times","1Km to 5Km","Send and receive","3","3","3","3","2","3","3","Very relevant","Relevant","Very relevant","Very relevant","Relevant","Relevant","Relevant","Very relevant","Relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Inconvenient to make deposits","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","","4"
"2020/11/28 1:07:16 pm GMT+5:30","Female","19 - 30","Colombo","Private Sector Job","Degree or above","100,000 - 150,000","Bank","Less than a year","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","100m to 1Km","Send and receive","5","5","5","5","5","5","4","Relevant","Relevant","Very relevant","Relevant","No Idea","Relevant","Relevant","Very relevant","Relevant","Relevant","5","YES","Ease of access;24/7 account and service access;Online bill payment","Security issues","Keep it Simple;More value added services","","5"
"2020/11/28 1:07:28 pm GMT+5:30","Male","30 - 40","Colombo","Private Sector Job","Degree or above","200,000+","Bank","Less than a year","An addition","Savings Account;Credit card Account;Checking Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","100m to 1Km","Send and receive","4","4","4","4","5","4","3","Relevant","Relevant","Very relevant","No Idea","Not relevant","Relevant","Very relevant","Very relevant","Relevant","No Idea","4","May be","Ease of access;Online bill payment","Security issues;Inefficient at complex transactions;Inconvenient to make deposits","Keep it Simple;Lightweight and speed","","3"
"2020/11/28 1:08:28 pm GMT+5:30","Male","19 - 30","Kurunegala","Government Job","Degree or above","100,000 - 150,000","Friends","One year to five years","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","1Km to 5Km","Send and receive","4","4","4","4","4","4","4","Relevant","Relevant","Very relevant","Not relevant","Not relevant","Relevant","Relevant","Very relevant","Relevant","Very relevant","4","May be","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Inconvenient to make deposits","Keep it Simple;Better User Interface","","4"
"2020/11/28 1:10:10 pm GMT+5:30","Male","19 - 30","Colombo","Private Sector Job","Diploma","Below 50,000","Self","One year to five years","both","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","1Km to 5Km","Send and receive","4","3","4","4","4","4","4","Relevant","Very relevant","Very relevant","Not relevant","Not relevant","Relevant","Very relevant","Very relevant","Very relevant","Very relevant","3","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Inefficient at complex transactions;Inconvenient to make deposits","Keep it Simple;Add more features;Better User Interface","","4"
"2020/11/28 1:11:54 pm GMT+5:30","Male","19 - 30","Kandy","Government Job","Degree or above","100,000 - 150,000","Self","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","1Km to 5Km","Send and receive","4","5","4","4","4","5","4","Very relevant","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Very relevant","Very relevant","Relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency;Low fees","Technology issues;Security issues","Keep it Simple;Add more features;Better User Interface","It is better if banks can upgrade any type of savings account to be accessed by the app rather limiting ","4"
"2020/11/28 1:15:29 pm GMT+5:30","Male","19 - 30","Colombo","Private Sector Job","Degree or above","150,000 to 200,000","Self","One year to five years","Separate","Savings Account","Transfer money to the other accounts","Rarely","more than 5Km","Send and receive","2","2","2","2","2","5","5","Relevant","Very relevant","Very relevant","Very relevant","Not relevant","Relevant","Relevant","Relevant","Relevant","Very relevant","3","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Apps aren't user friendly","Keep it Simple;Add more features;Lightweight and speed;Better User Interface","","4"
"2020/11/28 1:21:51 pm GMT+5:30","Female","19 - 30","Gampaha","Private Sector Job","Degree or above","100,000 - 150,000","Self","One year to five years","An addition","Savings Account;Money Market Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Open Fixed deposits","Weekly – Several Times","100m to 1Km","Send and receive","5","5","5","5","5","5","5","Very relevant","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Relevant","Not relevant","Not relevant","Very relevant","5","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Fees","Add more features;More value added services;Better User Interface","","2"
"2020/11/28 1:25:36 pm GMT+5:30","Male","19 - 30","Kalutara","Private Sector Job","Degree or above","150,000 to 200,000","Self","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts","Daily – Several Times","more than 5Km","Send and receive","4","4","4","4","4","4","2","Not relevant","Very relevant","Very relevant","Not relevant","Not relevant","Relevant","Not relevant","Very relevant","Not relevant","Not relevant","5","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues","Keep it Simple","","5"
