"Timestamp","1. Gender","2. Age","3. Where do you live? (District)","4. What's your occupation?","5. What's your Education Level?","6. What's your Monthly income?","7. How did you get to know about mobile banking?","8. How long have you been using mobile banking for?","9. Is your mobile banking service addition to an existing bank account or separate service(Mobile wallet, ex: frimi)?","10. What types of accounts do you have?","11. What kind of operations are you doing using the mobile application?","12.	How often do you use the mobile application to do the above-mentioned tasks","13. How far is the bank branch where you do business (or live)?","14. Do you generally send, receive, or do both send and receive?","15. How do you agree with the following statements? [My mobile banking menu is very easy to navigate]","15. How do you agree with the following statements? [My mobile banking menu is very easy to understand]","15. How do you agree with the following statements? [It is easy to make a payment]","15. How do you agree with the following statements? [It is easy to make transfer money]","15. How do you agree with the following statements? [It is easy to make a balance inquiry]","15. How do you agree with the following statements? [Do you think that you will save time by using a mobile banking application?]","15. How do you agree with the following statements? [Do you think the mobile banking is secure with compared to the physically going to a bank and doing the operations?]","16. What type of features do you think that is relevant to a mobile banking application? [Speed/Performance]","16. What type of features do you think that is relevant to a mobile banking application? [Simplicity]","16. What type of features do you think that is relevant to a mobile banking application? [Security]","16. What type of features do you think that is relevant to a mobile banking application? [Customization]","16. What type of features do you think that is relevant to a mobile banking application? [Social Integration]","16. What type of features do you think that is relevant to a mobile banking application? [Feedback]","16. What type of features do you think that is relevant to a mobile banking application? [cross-platform]","16. What type of features do you think that is relevant to a mobile banking application? [Customer support]","16. What type of features do you think that is relevant to a mobile banking application? [Multiple languages]","16. What type of features do you think that is relevant to a mobile banking application? [More reporting tools (charts, tables, etc..)]","17. How satisfied were you with the current banking application?","18. Do you recommend other users to use mobile banking apps? ","19. What is the main advantage of using mobile banking applications?","20. What are the main drawbacks of using mobile banking applications?","21. How can the mobile banking apps could be improved to fit your needs well?","22. What are your other thoughts on mobile banking? (Not Mandatory)","23. How convenient is this questionnaire for you? (Not Mandatory)"
"2020/11/20 8:47:59 am GMT+5:30","Male","19 - 30","Colombo","Private Sector Job","Degree or above","100,000 - 150,000","Bank","One year to five years","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;International payments","Monthly – Several Times","1Km to 5Km","Send and receive","2","4","4","4","5","5","2","Relevant","Very relevant","Very relevant","Very relevant","No Idea","No Idea","Relevant","Relevant","Not relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Security issues;Inconvenient to make deposits","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","","5"
"2020/11/28 10:30:58 am GMT+5:30","Male","19 - 30","Gampaha","Student","Degree or above","Below 50,000","Bank","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts","Monthly – Several Times","more than 5Km","Sender","3","3","4","4","4","4","4","Very relevant","Very relevant","Very relevant","Relevant","Relevant","Relevant","Very relevant","Very relevant","Very relevant","Very relevant","4","YES","24/7 account and service access;Speed and efficiency","Security issues","Keep it Simple;Lightweight and speed;Better User Interface","","4"
"2020/11/28 10:33:09 am GMT+5:30","Male","19 - 30","Kandy","Private Sector Job","Degree or above","100,000 - 150,000","Bank","One year to five years","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Open Fixed deposits","Monthly – Several Times","100m to 1Km","Send and receive","4","2","2","3","4","Not Relevant","2","Very relevant","Very relevant","Very relevant","Not relevant","Not relevant","Relevant","Relevant","Very relevant","Relevant","Relevant","2","May be","Ease of access;24/7 account and service access;Online bill payment","Security issues;Inefficient at complex transactions;Inconvenient to make deposits","Keep it Simple;Lightweight and speed;Better User Interface","","4"
"2020/11/28 10:34:09 am GMT+5:30","Female","19 - 30","Moneragala","Private Sector Job","Degree or above","100,000 - 150,000","Friends","One year to five years","Separate","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","100m to 1Km","Send and receive","1","3","2","2","4","4","2","Relevant","Very relevant","Very relevant","Not relevant","Not relevant","Relevant","Relevant","Very relevant","Very relevant","Relevant","3","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Security issues;Inefficient at complex transactions;Inconvenient to make deposits","Keep it Simple;Lightweight and speed;Better User Interface","","4"
"2020/11/28 10:40:06 am GMT+5:30","Male","19 - 30","Ratnapura","Government Job","Degree or above","Below 50,000","Friends","One year to five years","An addition","Savings Account;Credit card Account;Checking Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Monthly – Several Times","1Km to 5Km","Send and receive","4","4","3","3","5","4","3","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Security issues;Inefficient at complex transactions;No relationship with personal banker;Inconvenient to make deposits","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","","4"
"2020/11/28 10:42:33 am GMT+5:30","Female","19 - 30","Kandy","Government Job","Degree or above","50,000 - 100,000","Bank","Less than a year","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Weekly – Several Times","more than 5Km","Send and receive","3","3","3","2","3","3","3","Relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","Relevant","Not relevant","Not relevant","5","YES","24/7 account and service access;Speed and efficiency","Inconvenient to make deposits","Keep it Simple","","5"
"2020/11/28 10:46:27 am GMT+5:30","Male","19 - 30","Gampaha","Private Sector Job","Degree or above","150,000 to 200,000","Bank","One year to five years","An addition","Savings Account;Credit card Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills;Open Fixed deposits","Monthly – Several Times","1Km to 5Km","Send and receive","4","5","4","4","5","5","5","Very relevant","Very relevant","Very relevant","Not relevant","Not relevant","Relevant","Very relevant","Very relevant","Relevant","Not relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Inefficient at complex transactions;Inconvenient to make deposits","Keep it Simple;Lightweight and speed;Better User Interface","Some mobile banking interfaces does not interpret the information clearly (eg: Credit Card transactions information)","4"
"2020/11/28 10:47:59 am GMT+5:30","Female","19 - 30","Vavuniya","Government Job","Degree or above","50,000 - 100,000","Friends","Less than a year","An addition","Savings Account","Checking bank balance","Weekly – Once","100m to 1Km","Send and receive","3","3","4","4","3","3","3","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","4","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Security issues;No relationship with personal banker;Inconvenient to make deposits","Add more features;Better User Interface","","4"
"2020/11/28 10:50:38 am GMT+5:30","Male","19 - 30","Ratnapura","None","A/L","Below 50,000","Self","Less than a year","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Monthly – Several Times","more than 5Km","Send and receive","3","3","4","3","3","4","3","No Idea","Relevant","Very relevant","Relevant","Very relevant","Very relevant","No Idea","Very relevant","Relevant","Relevant","3","YES","24/7 account and service access;Online bill payment","Security issues;Inconvenient to make deposits","Keep it Simple;Add more features;Better User Interface","",""
"2020/11/28 10:51:20 am GMT+5:30","Female","19 - 30","Badulla","Government Job","Degree or above","Below 50,000","Bank","One year to five years","An addition","Savings Account","Checking bank balance;Transfer money to the other accounts;Pay utility bills","Monthly – Several Times","more than 5Km","Send and receive","5","5","5","5","5","5","4","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","Very relevant","5","YES","Ease of access;24/7 account and service access;Online bill payment;Speed and efficiency","Technology issues;Security issues;Inconvenient to make deposits","Keep it Simple;Add more features;Lightweight and speed;More value added services;Better User Interface","It is very convenient to use this kind of app in this busy life. Sometimes it is bit difficult to use the app when there are network issues, but anyway this is very helpful thing to me.  ","5"
